,AST,BLK,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GAME_DATE,GAME_ID,MATCHUP,MIN,OREB,PF,PLUS_MINUS,PTS,REB,SEASON_ID,STL,TEAM_ABBREVIATION,TEAM_ID,TEAM_NAME,TOV,VIDEO_AVAILABLE,WL
3,35,4,34,25,13,0.52,88,53,0.602,16,11,0.688,2016-02-25,0021500855,GSW @ ORL,240,8,21,16,130,42,22015,9,GSW,1610612744,Golden State Warriors,21,1,W
9,29,6,36,35,16,0.457,95,52,0.547,15,11,0.733,2015-12-08,0021500314,GSW @ IND,240,10,19,8,131,46,22015,10,GSW,1610612744,Golden State Warriors,15,1,W
22,30,8,32,30,18,0.6,88,50,0.568,22,18,0.818,2016-04-03,0021501152,GSW vs. POR,240,11,23,25,136,43,22015,5,GSW,1610612744,Golden State Warriors,13,1,W
26,38,9,43,32,12,0.375,95,50,0.526,20,13,0.65,2016-01-20,0021500634,GSW @ CHI,240,12,17,31,125,55,22015,8,GSW,1610612744,Golden State Warriors,10,1,W
29,35,5,37,35,12,0.343,98,49,0.5,8,7,0.875,2016-04-05,0021501163,GSW vs. MIN,265,9,29,-7,117,46,22015,9,GSW,1610612744,Golden State Warriors,24,1,L
37,35,5,38,41,20,0.488,93,49,0.527,29,16,0.552,2016-02-03,0021500739,GSW @ WAS,240,11,24,13,134,49,22015,10,GSW,1610612744,Golden State Warriors,18,1,W
39,35,8,39,37,19,0.514,87,49,0.563,15,11,0.733,2016-01-09,0021500556,GSW @ SAC,240,9,25,12,128,48,22015,5,GSW,1610612744,Golden State Warriors,19,1,W
55,35,7,37,38,22,0.579,95,48,0.505,14,12,0.857,2016-03-18,0021501026,GSW @ DAL,240,5,21,18,130,42,22015,8,GSW,1610612744,Golden State Warriors,13,1,W
58,36,7,30,30,13,0.433,84,48,0.571,10,6,0.6,2016-03-09,0021500958,GSW vs. UTA,240,9,23,21,115,39,22015,10,GSW,1610612744,Golden State Warriors,15,1,W
67,24,4,33,26,7,0.269,97,48,0.495,20,13,0.65,2016-02-06,0021500769,GSW vs. OKC,240,13,23,8,116,46,22015,7,GSW,1610612744,Golden State Warriors,10,1,W
79,34,7,27,38,18,0.474,89,48,0.539,16,15,0.938,2015-11-12,0021500125,GSW @ MIN,240,6,25,13,129,33,22015,8,GSW,1610612744,Golden State Warriors,11,1,W
87,30,6,38,25,12,0.48,81,47,0.58,23,19,0.826,2016-03-14,0021500996,GSW vs. NOP,240,8,22,18,125,46,22015,6,GSW,1610612744,Golden State Warriors,18,1,W
93,33,3,36,34,11,0.324,87,47,0.54,21,16,0.762,2016-03-03,0021500911,GSW vs. OKC,240,4,20,15,121,40,22015,11,GSW,1610612744,Golden State Warriors,9,1,W
105,37,7,45,30,13,0.433,95,47,0.495,2,1,0.5,2016-01-30,0021500707,GSW @ PHI,240,12,18,3,108,57,22015,5,GSW,1610612744,Golden State Warriors,23,1,W
107,33,4,33,29,14,0.483,81,47,0.58,21,19,0.905,2016-01-27,0021500691,GSW vs. DAL,240,7,18,20,127,40,22015,5,GSW,1610612744,Golden State Warriors,9,1,W
121,35,8,35,29,15,0.517,89,47,0.528,13,9,0.692,2015-11-22,0021500200,GSW @ DEN,240,11,25,13,118,46,22015,15,GSW,1610612744,Golden State Warriors,21,1,W
127,35,7,39,47,20,0.426,87,46,0.529,16,13,0.813,2016-04-13,0021501227,GSW vs. MEM,240,12,14,21,125,51,22015,7,GSW,1610612744,Golden State Warriors,17,1,W
139,32,8,42,37,18,0.486,91,46,0.505,12,11,0.917,2016-03-16,0021501011,GSW vs. NYK,240,12,13,36,121,54,22015,4,GSW,1610612744,Golden State Warriors,13,1,W
154,33,2,31,40,19,0.475,85,46,0.541,27,21,0.778,2016-01-18,0021500622,GSW @ CLE,240,6,25,34,132,37,22015,7,GSW,1610612744,Golden State Warriors,8,1,W
156,36,5,43,32,18,0.563,87,46,0.529,21,18,0.857,2016-01-08,0021500548,GSW @ POR,240,5,20,20,128,48,22015,6,GSW,1610612744,Golden State Warriors,15,1,W
165,32,4,40,32,15,0.469,88,46,0.523,27,21,0.778,2015-12-16,0021500381,GSW vs. PHX,240,9,17,25,128,49,22015,12,GSW,1610612744,Golden State Warriors,17,1,W
169,31,9,42,34,16,0.471,88,46,0.523,11,8,0.727,2015-12-02,0021500268,GSW @ CHA,240,11,23,17,116,53,22015,2,GSW,1610612744,Golden State Warriors,21,1,W
170,32,9,42,38,22,0.579,81,46,0.568,31,21,0.677,2015-11-27,0021500236,GSW @ PHX,240,11,26,19,135,53,22015,7,GSW,1610612744,Golden State Warriors,24,1,W
175,40,6,40,37,17,0.459,93,46,0.495,18,10,0.556,2015-11-06,0021500083,GSW vs. DEN,240,13,22,15,119,53,22015,10,GSW,1610612744,Golden State Warriors,20,1,W
178,26,4,35,30,17,0.567,84,46,0.548,35,25,0.714,2015-10-31,0021500035,GSW @ NOP,240,3,24,14,134,38,22015,10,GSW,1610612744,Golden State Warriors,10,1,W
182,33,2,36,25,12,0.48,83,45,0.542,11,10,0.909,2016-04-07,0021501177,GSW vs. SAS,240,7,22,11,112,43,22015,8,GSW,1610612744,Golden State Warriors,16,1,W
202,25,7,28,32,14,0.438,95,45,0.474,25,17,0.68,2016-02-27,0021500874,GSW @ OKC,265,4,22,3,121,32,22015,15,GSW,1610612744,Golden State Warriors,11,1,W
229,32,9,34,34,15,0.441,87,45,0.517,6,6,1.0,2016-01-04,0021500520,GSW vs. CHA,240,3,19,10,111,37,22015,4,GSW,1610612744,Golden State Warriors,11,1,W
243,32,6,36,35,12,0.343,92,45,0.489,15,9,0.6,2015-11-24,0021500214,GSW vs. LAL,240,12,13,34,111,48,22015,9,GSW,1610612744,Golden State Warriors,8,1,W
261,32,4,37,33,14,0.424,83,44,0.53,20,15,0.75,2016-03-27,0021501094,GSW vs. PHI,240,7,15,12,117,44,22015,9,GSW,1610612744,Golden State Warriors,18,1,W
285,28,6,35,34,12,0.353,94,44,0.468,26,23,0.885,2016-02-09,0021500788,GSW vs. HOU,240,14,26,13,123,49,22015,5,GSW,1610612744,Golden State Warriors,12,1,W
299,31,3,35,26,11,0.423,85,44,0.518,25,21,0.84,2016-01-25,0021500675,GSW vs. SAS,240,10,25,30,120,45,22015,15,GSW,1610612744,Golden State Warriors,21,1,W
324,25,9,36,33,14,0.424,86,44,0.512,23,12,0.522,2015-12-06,0021500300,GSW @ BKN,240,10,18,16,114,46,22015,9,GSW,1610612744,Golden State Warriors,12,1,W
357,30,10,33,45,21,0.467,88,43,0.489,23,21,0.913,2016-03-25,0021501080,GSW vs. DAL,240,7,16,8,128,40,22015,8,GSW,1610612744,Golden State Warriors,7,1,W
361,31,10,31,24,8,0.333,87,43,0.494,24,15,0.625,2016-03-21,0021501050,GSW @ MIN,240,13,20,5,109,44,22015,13,GSW,1610612744,Golden State Warriors,17,1,W
404,31,4,36,33,14,0.424,90,43,0.478,25,22,0.88,2016-01-22,0021500652,GSW vs. IND,240,14,24,12,122,50,22015,9,GSW,1610612744,Golden State Warriors,17,1,W
416,26,4,35,33,13,0.394,86,43,0.5,20,17,0.85,2016-01-14,0021500592,GSW vs. LAL,240,12,17,18,116,47,22015,12,GSW,1610612744,Golden State Warriors,20,1,W
424,34,5,38,28,10,0.357,86,43,0.5,23,15,0.652,2016-01-02,0021500504,GSW vs. DEN,265,9,22,3,111,47,22015,9,GSW,1610612744,Golden State Warriors,14,1,W
429,35,5,31,23,11,0.478,84,43,0.512,27,17,0.63,2015-12-31,0021500485,GSW @ HOU,240,12,20,4,114,43,22015,8,GSW,1610612744,Golden State Warriors,18,1,W
435,33,8,46,42,20,0.476,89,43,0.483,24,16,0.667,2015-12-28,0021500468,GSW vs. SAC,240,13,25,19,122,59,22015,12,GSW,1610612744,Golden State Warriors,18,1,W
463,31,6,25,29,11,0.379,80,43,0.538,27,18,0.667,2015-11-17,0021500164,GSW vs. TOR,240,9,29,5,115,34,22015,10,GSW,1610612744,Golden State Warriors,20,1,W
466,31,10,39,34,12,0.353,97,43,0.443,10,9,0.9,2015-11-14,0021500144,GSW vs. BKN,265,11,19,8,107,50,22015,9,GSW,1610612744,Golden State Warriors,15,1,W
469,29,4,28,21,12,0.571,91,43,0.473,13,11,0.846,2015-11-09,0021500104,GSW vs. DET,240,13,18,14,109,41,22015,13,GSW,1610612744,Golden State Warriors,16,1,W
473,32,13,55,25,11,0.44,84,43,0.512,30,22,0.733,2015-11-02,0021500051,GSW vs. MEM,240,10,15,50,119,65,22015,8,GSW,1610612744,Golden State Warriors,14,1,W
475,26,4,36,26,9,0.346,93,43,0.462,25,17,0.68,2015-10-30,0021500030,GSW @ HOU,240,11,24,20,112,47,22015,9,GSW,1610612744,Golden State Warriors,8,1,W
502,28,9,35,33,11,0.333,84,42,0.5,33,28,0.848,2016-03-12,0021500981,GSW vs. PHX,240,7,25,7,123,42,22015,6,GSW,1610612744,Golden State Warriors,8,1,W
509,27,7,40,35,16,0.457,84,42,0.5,27,19,0.704,2016-03-07,0021500943,GSW vs. ORL,240,10,26,6,119,50,22015,13,GSW,1610612744,Golden State Warriors,24,1,W
520,23,2,34,28,13,0.464,90,42,0.467,25,21,0.84,2016-02-24,0021500848,GSW @ MIA,240,9,24,6,118,43,22015,7,GSW,1610612744,Golden State Warriors,13,1,W
521,32,2,33,31,11,0.355,82,42,0.512,26,20,0.769,2016-02-20,0021500822,GSW @ LAC,240,6,19,3,115,39,22015,8,GSW,1610612744,Golden State Warriors,14,1,W
539,31,5,41,29,16,0.552,73,42,0.575,23,16,0.696,2016-01-31,0021500718,GSW @ NYK,240,3,21,21,116,44,22015,8,GSW,1610612744,Golden State Warriors,18,1,W
553,25,11,32,26,10,0.385,88,42,0.477,20,16,0.8,2016-01-13,0021500583,GSW @ DEN,240,7,25,-2,110,39,22015,9,GSW,1610612744,Golden State Warriors,13,1,L
