AST,BLK,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,OREB,PF,PLUS_MINUS,PTS,REB,STL,TOV,WL
58.0,19.0,246.0,146.0,49.0,5.051999999999989,375.0,168.0,3.189999999999994,130.0,93.0,19.307000000000002,80.0,15.0,-17.0,478.0,326.0,30.0,28.0,-1
-114.0,37.0,45.0,-19.0,-6.0,-4.0,-291.0,-152.0,1.2409999999999926,-22.0,-63.0,-13.319999999999993,25.0,6.0,93.0,-373.0,70.0,-75.0,-69.0,1
39.0,48.0,182.0,11.0,-3.0,1.0780000000000065,-30.0,-25.0,1.930999999999976,24.0,5.0,6.464999999999996,62.0,52.0,453.0,-48.0,244.0,43.0,5.0,1
-66.0,-34.0,-244.0,-160.0,-41.0,5.488000000000007,-362.0,-165.0,0.9630000000000187,-126.0,-106.0,-20.419999999999987,-22.0,64.0,171.0,-477.0,-266.0,-21.0,-89.0,1
68.0,-32.0,-19.0,238.0,91.0,26.465000000000007,429.0,163.0,-8.916000000000018,58.0,64.0,15.881,-139.0,-5.0,-341.0,481.0,-158.0,-1.0,13.0,-1
78.0,-55.0,-157.0,483.0,185.0,30.241999999999994,-186.0,-179.0,-3.791000000000011,-141.0,-133.0,-14.864999999999988,-109.0,26.0,-468.0,-306.0,-266.0,122.0,14.0,-1
-77.0,10.0,-38.0,95.0,20.0,-5.202999999999999,-207.0,-169.0,-10.065000000000019,-58.0,-49.0,-7.206999999999994,-13.0,-81.0,-293.0,-367.0,-51.0,-40.0,-42.0,-1
131.0,-25.0,-47.0,270.0,105.0,21.477,484.0,209.0,-1.4979999999999976,114.0,83.0,16.305999999999997,-34.0,-17.0,42.0,606.0,-81.0,35.0,58.0,1
69.0,24.0,84.0,68.0,26.0,5.7829999999999995,275.0,102.0,-0.3030000000000115,-15.0,-10.0,-3.1999999999999993,21.0,82.0,74.0,220.0,105.0,24.0,39.0,-1
105.0,-15.0,13.0,458.0,173.0,18.741999999999994,471.0,167.0,-2.8440000000000154,55.0,55.0,19.324,-99.0,8.0,-24.0,562.0,-86.0,101.0,32.0,-1
